Record Type,Symbol,Grant Date,Settlement Type,Granted Qty.,Withheld Qty.,Vested Qty.,Unvested Qty.,Deferred / Pending Release Qty.,Sellable Qty.,Est. Market Value,Grant Number,Cancelled Qty.,Pending Sale Qty.,Blocked Qty.,Type,Class,Status,Vest Period,Vest Date,Deferred Until,Granted Qty.,Other Reason for cancelled qty,Cancelled Qty.,Date Cancelled,Vested Qty.,Released Qty,Released Amount,Sellable Qty.,Blocked Qty.,Blocked Share Qty.,Total Taxes Paid,Sellable Qty.,Pending Sale Qty.,Sellable Est. Market Value,Est. Cost Basis (per share):,Est. Taxable Gain/Loss (per share):,Tax Status,Shares Traded for taxes,Tax Status,Tax Description,Taxable Gain,Effective Tax Rate,Withholding Amount,Total Estimated Tax Withholding,Dividend,Dividend Record Date,Dividend Payable Date,Dividend Cancel Date,Dividend Release Date,Dividend Type,Dividend Per Share,Dividend Market Value,Dividend Cash,Dividend Share,Release Dividend Shares,Dividend Fractional Shares Remaining,Dividend Market Value at Release,Cash-in-Lieu,Blocked,Blocked Type,Release Date
Vest Schedule,,,,,0,,,,,,RU1420,,,,,,,11,01/01/2026,,937,,0,,937,937,$0.00 ,0,0,,"$6,690.76 ",,,,,,,408,Paid at Vest,,,,,,,,,,,,,,,,0,0,$17.34 ,$0.00 ,,,
Tax Withholding,,,,,,,,,,,RU1420,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,Federal-22,"$16,247.58 ",22%,"$3,574.47 ",,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU1420,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,OASDI,"$16,247.58 ",6.2%,"$1,007.35 ",,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU1420,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,Medicare,"$16,247.58 ",1.45%,$235.59 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU1420,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,Medicare0,"$16,247.58 ",0%,$0.00 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU1420,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,CA-State,"$16,247.58 ",10.23%,"$1,662.13 ",,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU1420,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,CA-SDI-Man,"$16,247.58 ",1.3%,$211.22 ,,,,,,,,,,,,,,,,,,
Vest Schedule,,,,,0,,,,,,RU1420,,,,,,,12,04/01/2026,,938,,0,,938,938,$0.00 ,0,0,,"$2,852.64 ",,,,,,,336,Paid at Vest,,,,,,,,,,,,,,,,0,0,$8.49 ,$0.00 ,,,
Tax Withholding,,,,,,,,,,,RU1420,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,Federal-22,"$7,963.62 ",22%,"$1,755.97 ",,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU1420,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,OASDI,$0.00 ,6.2%,$0.00 ,,,,,,,,,,,,,,,,,,
