Record Type,Symbol,Grant Date,Settlement Type,Granted Qty.,Withheld Qty.,Vested Qty.,Unvested Qty.,Deferred / Pending Release Qty.,Sellable Qty.,Est. Market Value,Grant Number,Cancelled Qty.,Pending Sale Qty.,Blocked Qty.,Type,Class,Status,Vest Period,Vest Date,Deferred Until,Granted Qty.,Other Reason for cancelled qty,Cancelled Qty.,Date Cancelled,Vested Qty.,Released Qty,Released Amount,Sellable Qty.,Blocked Qty.,Blocked Share Qty.,Total Taxes Paid,Sellable Qty.,Pending Sale Qty.,Sellable Est. Market Value,Est. Cost Basis (per share):,Est. Taxable Gain/Loss (per share):,Tax Status,Shares Traded for taxes,Tax Status,Tax Description,Taxable Gain,Effective Tax Rate,Withholding Amount,Total Estimated Tax Withholding,Dividend,Dividend Record Date,Dividend Payable Date,Dividend Cancel Date,Dividend Release Date,Dividend Type,Dividend Per Share,Dividend Market Value,Dividend Cash,Dividend Share,Release Dividend Shares,Dividend Fractional Shares Remaining,Dividend Market Value at Release,Cash-in-Lieu,Blocked,Blocked Type,Release Date
Vest Schedule,,,,,0,,,,,,RU1420,,,,,,,15,01/01/2027,,937,,0,,0,0,$0.00 ,0,0,,$0.00 ,,,,,,,0,Due at Vest,,,,,,,,,,,,,,,,0,0,$0.00 ,$0.00 ,,,
Vest Schedule,,,,,0,,,,,,RU1420,,,,,,,16,04/01/2027,,938,,0,,0,0,$0.00 ,0,0,,$0.00 ,,,,,,,0,Due at Vest,,,,,,,,,,,,,,,,0,0,$0.00 ,$0.00 ,,,
Grant,NTSK,05-JUN-2024,Stock,12000,,6750,5250,,0,"$78,067.50 ",RU3136,0,0,,RSU,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vest Schedule,,,,,0,,,,,,RU3136,,,,,,,1,07/01/2024,,750,,0,,750,750,$0.00 ,0,0,,"$7,239.00 ",,,,,,,381,Paid at Vest,,,,,,,,,,,,,,,,0,0,$19.00 ,$0.00 ,,,
Tax Withholding,,,,,,,,,,,RU3136,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,Federal-37,"$14,250.00 ",37%,"$5,275.34 ",,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU3136,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,OASDI,$0.00 ,6.2%,$0.00 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU3136,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,Medicare,"$14,250.00 ",1.45%,$206.63 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU3136,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,Medicare0,$0.00 ,0%,$0.00 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU3136,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,Add.Medicare,"$14,250.00 ",0.9000000000000001%,$128.25 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU3136,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,CA-State,"$14,250.00 ",10.23%,"$1,457.78 ",,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU3136,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,CA-SDI-Man,"$14,250.00 ",1.2%,$171.00 ,,,,,,,,,,,,,,,,,,
Vest Schedule,,,,,0,,,,,,RU3136,,,,,,,2,10/01/2024,,750,,0,,750,750,$0.00 ,0,0,,"$7,239.00 ",,,,,,,381,Paid at Vest,,,,,,,,,,,,,,,,0,0,$19.00 ,$0.00 ,,,
Tax Withholding,,,,,,,,,,,RU3136,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,Federal-37,"$14,250.00 ",37%,"$5,275.34 ",,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU3136,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,OASDI,$0.00 ,6.2%,$0.00 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU3136,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,Medicare,"$14,250.00 ",1.45%,$206.63 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU3136,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,Medicare0,$0.00 ,0%,$0.00 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU3136,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,Add.Medicare,"$14,250.00 ",0.9000000000000001%,$128.25 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU3136,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,CA-State,"$14,250.00 ",10.23%,"$1,457.78 ",,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU3136,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,CA-SDI-Man,"$14,250.00 ",1.2%,$171.00 ,,,,,,,,,,,,,,,,,,
Vest Schedule,,,,,0,,,,,,RU3136,,,,,,,3,01/01/2025,,750,,0,,750,750,$0.00 ,0,0,,"$7,239.00 ",,,,,,,381,Paid at Vest,,,,,,,,,,,,,,,,0,0,$19.00 ,$0.00 ,,,
Tax Withholding,,,,,,,,,,,RU3136,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,Federal-37,"$14,250.00 ",37%,"$5,275.34 ",,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU3136,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,OASDI,$0.00 ,6.2%,$0.00 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU3136,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,Medicare,"$14,250.00 ",1.45%,$206.63 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU3136,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,Medicare0,$0.00 ,0%,$0.00 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU3136,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,Add.Medicare,"$14,250.00 ",0.9000000000000001%,$128.25 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU3136,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,CA-State,"$14,250.00 ",10.23%,"$1,457.78 ",,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU3136,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,CA-SDI-Man,"$14,250.00 ",1.2%,$171.00 ,,,,,,,,,,,,,,,,,,
Vest Schedule,,,,,0,,,,,,RU3136,,,,,,,4,04/01/2025,,750,,0,,750,750,$0.00 ,0,0,,"$7,239.00 ",,,,,,,381,Paid at Vest,,,,,,,,,,,,,,,,0,0,$19.00 ,$0.00 ,,,
Tax Withholding,,,,,,,,,,,RU3136,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,Federal-37,"$14,250.00 ",37%,"$5,275.34 ",,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU3136,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,OASDI,$0.00 ,6.2%,$0.00 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU3136,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,Medicare,"$14,250.00 ",1.45%,$206.63 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU3136,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,Medicare0,$0.00 ,0%,$0.00 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU3136,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,Add.Medicare,"$14,250.00 ",0.9000000000000001%,$128.25 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU3136,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,CA-State,"$14,250.00 ",10.23%,"$1,457.78 ",,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU3136,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,CA-SDI-Man,"$14,250.00 ",1.2%,$171.00 ,,,,,,,,,,,,,,,,,,
Vest Schedule,,,,,0,,,,,,RU3136,,,,,,,5,07/01/2025,,750,,0,,750,750,$0.00 ,0,0,,"$7,239.00 ",,,,,,,381,Paid at Vest,,,,,,,,,,,,,,,,0,0,$19.00 ,$0.00 ,,,
Tax Withholding,,,,,,,,,,,RU3136,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,Federal-37,"$14,250.00 ",37%,"$5,275.34 ",,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU3136,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,OASDI,$0.00 ,6.2%,$0.00 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU3136,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,Medicare,"$14,250.00 ",1.45%,$206.63 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU3136,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,Medicare0,$0.00 ,0%,$0.00 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU3136,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,Add.Medicare,"$14,250.00 ",0.9000000000000001%,$128.25 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU3136,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,CA-State,"$14,250.00 ",10.23%,"$1,457.78 ",,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU3136,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,CA-SDI-Man,"$14,250.00 ",1.2%,$171.00 ,,,,,,,,,,,,,,,,,,
Vest Schedule,,,,,0,,,,,,RU3136,,,,,,,6,10/01/2025,,750,,0,,750,750,$0.00 ,0,0,,"$8,660.13 ",,,,,,,381,Paid at Vest,,,,,,,,,,,,,,,,0,0,$22.73 ,$0.00 ,,,
Tax Withholding,,,,,,,,,,,RU3136,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,Federal-37,"$17,047.50 ",37%,"$6,310.98 ",,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU3136,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,OASDI,$0.00 ,6.2%,$0.00 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU3136,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,Medicare,"$17,047.50 ",1.45%,$247.19 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU3136,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,Medicare0,$0.00 ,0%,$0.00 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU3136,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,Add.Medicare,"$17,047.50 ",0.9000000000000001%,$153.43 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU3136,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,CA-State,"$17,047.50 ",10.23%,"$1,743.96 ",,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU3136,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,CA-SDI-Man,"$17,047.50 ",1.2%,$204.57 ,,,,,,,,,,,,,,,,,,
Vest Schedule,,,,,0,,,,,,RU3136,,,,,,,7,01/01/2026,,750,,0,,750,750,$0.00 ,0,0,,"$5,355.46 ",,,,,,,327,Paid at Vest,,,,,,,,,,,,,,,,0,0,$17.34 ,$0.00 ,,,
Tax Withholding,,,,,,,,,,,RU3136,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,Federal-22,"$13,005.00 ",22%,"$2,861.10 ",,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU3136,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,OASDI,"$13,005.00 ",6.2%,$806.31 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU3136,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,Medicare,"$13,005.00 ",1.45%,$188.57 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU3136,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,Medicare0,"$13,005.00 ",0%,$0.00 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU3136,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,CA-State,"$13,005.00 ",10.23%,"$1,330.41 ",,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU3136,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,CA-SDI-Man,"$13,005.00 ",1.3%,$169.07 ,,,,,,,,,,,,,,,,,,
Vest Schedule,,,,,0,,,,,,RU3136,,,,,,,8,04/01/2026,,750,,0,,750,750,$0.00 ,0,0,,"$2,232.87 ",,,,,,,263,Paid at Vest,,,,,,,,,,,,,,,,0,0,$8.49 ,$0.00 ,,,
Tax Withholding,,,,,,,,,,,RU3136,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,Federal-22,"$6,367.50 ",22%,"$1,406.36 ",,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU3136,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,OASDI,$0.00 ,6.2%,$0.00 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU3136,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,Medicare,"$6,367.50 ",1.45%,$92.33 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU3136,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,Medicare0,"$6,367.50 ",0%,$0.00 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU3136,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,CA-State,"$6,367.50 ",10.23%,$651.40 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU3136,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,CA-SDI-Man,"$6,367.50 ",1.3%,$82.78 ,,,,,,,,,,,,,,,,,,
Vest Schedule,,,,,0,,,,,,RU3136,,,,,,,9,07/01/2026,,750,,0,,750,750,$0.00 ,0,0,,"$2,953.80 ",,,,,,,270,Paid at Vest,,,,,,,,,,,,,,,,0,0,$10.94 ,$0.00 ,,,
Tax Withholding,,,,,,,,,,,RU3136,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,Federal-22,"$8,205.00 ",22%,"$1,814.94 ",,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU3136,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,OASDI,$0.00 ,6.2%,$0.00 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU3136,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,Medicare,"$8,205.00 ",1.45%,$118.97 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU3136,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,Medicare0,$0.00 ,0%,$0.00 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU3136,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,Add.Medicare,"$8,205.00 ",0.9000000000000001%,$73.85 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU3136,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,CA-State,"$8,205.00 ",10.23%,$839.37 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU3136,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,CA-SDI-Man,"$8,205.00 ",1.3%,$106.67 ,,,,,,,,,,,,,,,,,,
Vest Schedule,,,,,0,,,,,,RU3136,,,,,,,10,10/01/2026,,750,,0,,0,0,$0.00 ,0,0,,$0.00 ,,,,,,,0,Due at Vest,,,,,,,,,,,,,,,,0,0,$0.00 ,$0.00 ,,,
Vest Schedule,,,,,0,,,,,,RU3136,,,,,,,11,01/01/2027,,750,,0,,0,0,$0.00 ,0,0,,$0.00 ,,,,,,,0,Due at Vest,,,,,,,,,,,,,,,,0,0,$0.00 ,$0.00 ,,,
Vest Schedule,,,,,0,,,,,,RU3136,,,,,,,12,04/01/2027,,750,,0,,0,0,$0.00 ,0,0,,$0.00 ,,,,,,,0,Due at Vest,,,,,,,,,,,,,,,,0,0,$0.00 ,$0.00 ,,,
Vest Schedule,,,,,0,,,,,,RU3136,,,,,,,13,07/01/2027,,750,,0,,0,0,$0.00 ,0,0,,$0.00 ,,,,,,,0,Due at Vest,,,,,,,,,,,,,,,,0,0,$0.00 ,$0.00 ,,,
Vest Schedule,,,,,0,,,,,,RU3136,,,,,,,14,10/01/2027,,750,,0,,0,0,$0.00 ,0,0,,$0.00 ,,,,,,,0,Due at Vest,,,,,,,,,,,,,,,,0,0,$0.00 ,$0.00 ,,,
Vest Schedule,,,,,0,,,,,,RU3136,,,,,,,15,01/01/2028,,750,,0,,0,0,$0.00 ,0,0,,$0.00 ,,,,,,,0,Due at Vest,,,,,,,,,,,,,,,,0,0,$0.00 ,$0.00 ,,,
Vest Schedule,,,,,0,,,,,,RU3136,,,,,,,16,04/01/2028,,750,,0,,0,0,$0.00 ,0,0,,$0.00 ,,,,,,,0,Due at Vest,,,,,,,,,,,,,,,,0,0,$0.00 ,$0.00 ,,,
Grant,NTSK,04-JUN-2025,Stock,20000,,6250,13750,,0,"$204,462.50 ",RU5796,0,0,,RSU,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vest Schedule,,,,,0,,,,,,RU5796,,,,,,,1,07/01/2025,,1250,,0,,1250,1250,$0.00 ,0,0,,"$12,065.00 ",,,,,,,635,Paid at Vest,,,,,,,,,,,,,,,,0,0,$19.00 ,$0.00 ,,,
Tax Withholding,,,,,,,,,,,RU5796,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,Federal-37,"$23,750.00 ",37%,"$8,792.24 ",,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU5796,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,OASDI,$0.00 ,6.2%,$0.00 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU5796,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,Medicare,"$23,750.00 ",1.45%,$344.38 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU5796,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,Medicare0,$0.00 ,0%,$0.00 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU5796,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,Add.Medicare,"$23,750.00 ",0.9000000000000001%,$213.75 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU5796,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,CA-State,"$23,750.00 ",10.23%,"$2,429.63 ",,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU5796,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,CA-SDI-Man,"$23,750.00 ",1.2%,$285.00 ,,,,,,,,,,,,,,,,,,
Vest Schedule,,,,,0,,,,,,RU5796,,,,,,,2,10/01/2025,,1250,,0,,1250,1250,$0.00 ,0,0,,"$14,433.55 ",,,,,,,635,Paid at Vest,,,,,,,,,,,,,,,,0,0,$22.73 ,$0.00 ,,,
Tax Withholding,,,,,,,,,,,RU5796,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,Federal-37,"$28,412.50 ",37%,"$10,518.31 ",,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU5796,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,OASDI,$0.00 ,6.2%,$0.00 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU5796,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,Medicare,"$28,412.50 ",1.45%,$411.98 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU5796,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,Medicare0,$0.00 ,0%,$0.00 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU5796,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,Add.Medicare,"$28,412.50 ",0.9000000000000001%,$255.71 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU5796,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,CA-State,"$28,412.50 ",10.23%,"$2,906.60 ",,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU5796,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,CA-SDI-Man,"$28,412.50 ",1.2%,$340.95 ,,,,,,,,,,,,,,,,,,
Vest Schedule,,,,,0,,,,,,RU5796,,,,,,,3,01/01/2026,,1250,,0,,1250,1250,$0.00 ,0,0,,"$8,925.77 ",,,,,,,544,Paid at Vest,,,,,,,,,,,,,,,,0,0,$17.34 ,$0.00 ,,,
Tax Withholding,,,,,,,,,,,RU5796,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,Federal-22,"$21,675.00 ",22%,"$4,768.50 ",,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU5796,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,OASDI,"$21,675.00 ",6.2%,"$1,343.85 ",,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU5796,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,Medicare,"$21,675.00 ",1.45%,$314.29 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU5796,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,Medicare0,"$21,675.00 ",0%,$0.00 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU5796,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,CA-State,"$21,675.00 ",10.23%,"$2,217.35 ",,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU5796,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,CA-SDI-Man,"$21,675.00 ",1.3%,$281.78 ,,,,,,,,,,,,,,,,,,
Vest Schedule,,,,,0,,,,,,RU5796,,,,,,,4,04/01/2026,,1250,,0,,1250,1250,$0.00 ,0,0,,"$3,871.44 ",,,,,,,456,Paid at Vest,,,,,,,,,,,,,,,,0,0,$8.49 ,$0.00 ,,,
Tax Withholding,,,,,,,,,,,RU5796,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,Federal-22,"$10,612.50 ",22%,"$2,342.37 ",,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU5796,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,OASDI,"$2,444.68 ",6.2%,$151.57 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU5796,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,Medicare,"$10,612.50 ",1.45%,$153.88 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU5796,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,Medicare0,"$10,612.50 ",0%,$0.00 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU5796,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,CA-State,"$10,612.50 ",10.23%,"$1,085.66 ",,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU5796,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,CA-SDI-Man,"$10,612.50 ",1.3%,$137.96 ,,,,,,,,,,,,,,,,,,
Vest Schedule,,,,,0,,,,,,RU5796,,,,,,,5,07/01/2026,,1250,,0,,1250,1250,$0.00 ,0,0,,"$4,912.06 ",,,,,,,449,Paid at Vest,,,,,,,,,,,,,,,,0,0,$10.94 ,$0.00 ,,,
Tax Withholding,,,,,,,,,,,RU5796,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,Federal-22,"$13,675.00 ",22%,"$3,013.96 ",,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU5796,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,OASDI,$0.00 ,6.2%,$0.00 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU5796,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,Medicare,"$13,675.00 ",1.45%,$198.29 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU5796,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,Medicare0,$0.00 ,0%,$0.00 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU5796,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,Add.Medicare,"$13,675.00 ",0.9000000000000001%,$123.08 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU5796,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,CA-State,"$13,675.00 ",10.23%,"$1,398.95 ",,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU5796,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,CA-SDI-Man,"$13,675.00 ",1.3%,$177.78 ,,,,,,,,,,,,,,,,,,
Vest Schedule,,,,,0,,,,,,RU5796,,,,,,,6,10/01/2026,,1250,,0,,0,0,$0.00 ,0,0,,$0.00 ,,,,,,,0,Due at Vest,,,,,,,,,,,,,,,,0,0,$0.00 ,$0.00 ,,,
Vest Schedule,,,,,0,,,,,,RU5796,,,,,,,7,01/01/2027,,1250,,0,,0,0,$0.00 ,0,0,,$0.00 ,,,,,,,0,Due at Vest,,,,,,,,,,,,,,,,0,0,$0.00 ,$0.00 ,,,
Vest Schedule,,,,,0,,,,,,RU5796,,,,,,,8,04/01/2027,,1250,,0,,0,0,$0.00 ,0,0,,$0.00 ,,,,,,,0,Due at Vest,,,,,,,,,,,,,,,,0,0,$0.00 ,$0.00 ,,,
Vest Schedule,,,,,0,,,,,,RU5796,,,,,,,9,07/01/2027,,1250,,0,,0,0,$0.00 ,0,0,,$0.00 ,,,,,,,0,Due at Vest,,,,,,,,,,,,,,,,0,0,$0.00 ,$0.00 ,,,
Vest Schedule,,,,,0,,,,,,RU5796,,,,,,,10,10/01/2027,,1250,,0,,0,0,$0.00 ,0,0,,$0.00 ,,,,,,,0,Due at Vest,,,,,,,,,,,,,,,,0,0,$0.00 ,$0.00 ,,,
Vest Schedule,,,,,0,,,,,,RU5796,,,,,,,11,01/01/2028,,1250,,0,,0,0,$0.00 ,0,0,,$0.00 ,,,,,,,0,Due at Vest,,,,,,,,,,,,,,,,0,0,$0.00 ,$0.00 ,,,
Vest Schedule,,,,,0,,,,,,RU5796,,,,,,,12,04/01/2028,,1250,,0,,0,0,$0.00 ,0,0,,$0.00 ,,,,,,,0,Due at Vest,,,,,,,,,,,,,,,,0,0,$0.00 ,$0.00 ,,,
Vest Schedule,,,,,0,,,,,,RU5796,,,,,,,13,07/01/2028,,1250,,0,,0,0,$0.00 ,0,0,,$0.00 ,,,,,,,0,Due at Vest,,,,,,,,,,,,,,,,0,0,$0.00 ,$0.00 ,,,
Vest Schedule,,,,,0,,,,,,RU5796,,,,,,,14,10/01/2028,,1250,,0,,0,0,$0.00 ,0,0,,$0.00 ,,,,,,,0,Due at Vest,,,,,,,,,,,,,,,,0,0,$0.00 ,$0.00 ,,,
